,高德ID,高德名称,POI类型,坐标,距离,地址
0,B0FFM5CP2I,星雨城,120302,"121.485189,30.916695",227,南桥镇南奉公路8505号星雨城时代广场
1,B0FFF3BZ0R,苏宁荣悦怡庭,120302,"121.488675,30.919733",256,解放东路299弄
2,B00155L48N,庙泾新村,120302,"121.490217,30.917393",374,南奉公路与望园南路交叉口东南150米
3,B00156ZH9S,绿地未来中心,120302,"121.489588,30.91577",418,奉贤南桥望园南路1588弄1号
4,B0FFF75YUY,馨雅名筑,120302,"121.482166,30.917704",419,解放东路599弄1-17号
5,B0FFG1OG38,半岛君望,120302,"121.483432,30.915684",420,南奉公路8505号南方国际广场1层
6,B0FFGE2KWB,中粮怡庭东区,120302,"121.483535,30.921874",476,南桥镇德政路299弄中粮怡庭
7,B00157454T,中粮·南桥半岛,120302,"121.482558,30.921827",533,解放东路望园南路交汇处
8,B00156D6WV,绿地·望海新都,120302,"121.491335,30.916004",535,望园南路1588弄105号
9,B0FFHLMFFQ,阳光星期8,120302,"121.480417,30.918863",580,南桥镇解放东路588号
10,B0FFGE2KOI,中粮悦庭西区,120302,"121.480853,30.921194",619,贤政路333弄1-40号
11,B00156DXR7,银河丽湾,120302,"121.493352,30.917069",673,百通路88弄1-17号
12,B00155D49G,华龙公寓(解放东路),120302,"121.478825,30.916921",749,奉贤南桥镇解放东路9号
13,B00155AGG4,蓝天苑,120302,"121.477909,30.919739",831,远东路2707弄
14,B00155N8A8,南郊美墅,120301,"121.488922,30.92562",835,徳丰路199弄
15,B00155B6HY,绅鸿苑,120302,"121.480515,30.912384",880,正环路158弄之1-29号
16,B001559E7Z,芳邻苑,120302,"121.478425,30.914159",903,南奉公路8889弄之81-102号
17,B00155N787,南郊庄园,120301,"121.480386,30.924815",920,江海镇
18,B00157HPAM,泰和名都,120302,"121.482912,30.92658",970,展园路与泽丰路交叉口西南150米
19,B00157HPAK,南郊一品,120302,"121.492128,30.925691",973,德丰路69弄25号(金海路德丰路路口)
20,B001557C9G,居礼苑(正环路),120302,"121.478839,30.912363",992,南奉公路8889弄之103-131号
21,B0FFH4UKG6,卓越世纪中心,120302,"121.494352,30.912079",1030,望园南路269号
22,B00156D6D1,南郊御墅,120301,"121.479758,30.926341",1091,南桥镇展园路250弄
23,B00155IWOD,曙光新苑,120302,"121.475284,30.915723",1110,南奉公路527号
24,B00155AS8O,名仕苑(正环路),120302,"121.476569,30.912146",1175,南奉公路8889弄之132-149号
25,B00155BVUE,行知苑,120302,"121.475069,30.912706",1261,南奉公路8889弄之150-160号、163-179号
26,B0FFF75YMD,金海苑,120302,"121.499990,30.917518",1294,金海路1286号
27,B0FFFGV9CX,恒盛·湖畔豪庭,120302,"121.485837,30.930058",1297,泽丰路
28,B0FFI8G8T5,湖畔小区,120302,"121.485843,30.930085",1300,[]
29,B0FFL9EDBH,正阳TOP,120302,"121.480337,30.907920",1306,南桥镇南港路1455-1459号
30,B001579AYN,正阳·世纪星城,120302,"121.477301,30.909376",1334,南桥镇南港路1469号
31,B00155BK0N,万龙新村,120302,"121.472762,30.921123",1344,新建东路388号
32,B0FFK81L7M,绿地翡翠公馆,120302,"121.472395,30.917821",1346,南桥镇解放东路1018弄
