,UID,百度名称,坐标,距离,地址
0,6c6edeb4738525803904b162,古华新村B区,"30.924273,121.473137",1897,上海市奉贤区古华园路与新建中路交叉路口往东南约100米(古华新村)
1,31dcddda26d1e02261685815,金昊雅苑-北区,"30.923858,121.509635",1583,上海市奉贤区光昊路218弄
2,5c44ef97d13742ada4c75688,绿地上海之渔,"30.940928,121.497638",1918,上海市奉贤区Ｙ３６８与航南公路交叉路口东南侧(合景万景峰)
3,35debf29c1981a45a6da390a,景河苑,"30.941035,121.46435",3319,上海市奉贤区南桥镇八字桥路599弄
4,8766076b8dceaba3223bf267,花轩房产(联运大厦居民住宅区北),"30.920715,121.475465",1718,上海市奉贤区南桥环城东路与南桥曙光路交叉路口南侧(曙光新村)
5,ab4dc18dafcd9635d72ce206,褚家荣苑,"30.928382,121.522015",2804,上海市奉贤区贤瑞路268号
6,e6ee2fd260976a492a11d1a7,聚贤煌都,"30.948655,121.47328",3314,奉浦大道95号
7,d1439a85771e62ebb11e3675,光伟小区,"30.912495,121.523452",3177,上海市奉贤区光明路196号
8,e17554ad4db1ee20e311039d,金融街,"30.922473,121.492646",187,上海市奉贤区南奉公路8505号附近
9,504d61138eed3bb24657260a,航星二村,"30.939001,121.470996",2674,上海市奉贤区国顺路103号
10,a7041f8070fc2402eee4a5a0,首座美甲美睫,"30.920711,121.492936",380,百兴路78弄18号
11,a4ddf00b7bb098253010afa9,古华A区-426号楼,"30.921552,121.475973",1652,上海市奉贤区南桥环城东路古华A区南二门
12,153a3ce64316e486b7147f76,奉浦苑,"30.941686,121.470798",2882,上海市奉贤区国顺路218号
13,f83d36b7c05f1cbeb6f42f10,峯云茗苑,"30.920362,121.493315",419,上海市奉贤区百兴路78弄2号附近
14,84ef190b0adb1abc8bfc0652,绿地无双,"30.944757,121.503535",2502,航南公路
15,7731ea68844682e62bd7abfe,庙泾新村-10号楼,"30.923466,121.497303",414,上海市奉贤区庙泾新村小区
16,dcf6d25b001cb8d126e0a071,庙泾新村-8号楼,"30.923359,121.496959",384,上海市奉贤区庙泾新村小区
17,e42ffc4fa054137a31870aa6,万科金域华府,"30.94129,121.523878",3506,上海市奉贤区秀韵路与万顺路交叉路口往西北约100米
18,be084000b0a703434bcc4af1,万景峰二期,"30.940603,121.498395",1901,上海市奉贤区Ｙ３６８与航南公路交叉路口往东南约50米(合景万景峰)
19,767c8e0109df39cdf7e73ba3,庙泾新村-19号楼,"30.922671,121.497057",416,上海市奉贤区庙泾新村小区
20,f536aa09fca4d0b0c61e518c,南桥东大型居住社区,"30.945734,121.522783",3717,清朗路298
21,d871ae37961a09ac2bd7abd7,白沙通苑,"30.946497,121.520942",3643,上海市奉贤区清宁路359号
22,c5045e8a1cb8866ee6e9655f,白沙恒苑,"30.946933,121.523339",3845,上海市奉贤区白沙恒苑(清宁路南100米)
23,86dfe8a65a7705507c29bd07,青村镇光明社区,"30.912632,121.524253",3241,光明路194号附近
24,e0e9974833dc7442d8131874,欣弄新苑,"30.910229,121.521346",3112,金钱公路3728号
25,8154790377fbcc0ca8059d3d,奉浦苑-38号楼,"30.941524,121.470406",2898,奉浦苑38号
26,26e024564100748440e192fc,奉浦新村,"30.945138,121.466937",3413,上海市奉贤区南桥环城东路与韩村路交叉路口往南约50米(奉贤中专东北侧)
27,36c5cf9a193e28f7b2077d9c,古华A区453号楼,"30.920411,121.476306",1648,奉贤区
28,f632358d75a155d214b54b3a,古华A区-445号楼,"30.921147,121.477323",1534,古华新村A区445号
29,ffdfd4ec7fb3980a3517dc60,古华A区-449号楼,"30.920878,121.477161",1556,古华新村A区449号
30,54f1f9f0a171178c3010af35,古华A区-480号楼,"30.922613,121.476103",1623,上海市奉贤区南桥古华A区南区(解放东路南)
31,3584c29d9090f4cf0782c2be,古华A区-450号楼,"30.920916,121.477282",1544,上海市奉贤区古华新村A区450号
32,1768881f00efe99dc9c3db22,古华A区-493号楼,"30.922417,121.47668",1571,上海市奉贤区解放东路193号附近
33,37dfa846aa466280c91b958f,古华新村B区507号,"30.923274,121.473235",1890,上海市奉贤区解放中路80号附近
34,9373ab2b17b5402646e2746e,古华A区-419号楼,"30.92182,121.476534",1594,上海市奉贤区古华新村A区419号
35,78f89f29dd83d60659bbbc71,聚贤皇都-485号,"30.950244,121.475099",3370,上海市奉贤区沪金高速与奉浦大道交叉路口往西南约100米(聚贤煌都)
36,5af1bcf27d0c3a448f1a89e7,古华A区-471号楼,"30.922555,121.475505",1681,古华新村A区471号
37,ac39866f77c117ba3be4a6b6,古华A区414号楼,"30.92172,121.475755",1669,奉贤区
38,a9a7ac154cc501deab0dd86e,古华A区-467号楼,"30.922658,121.475389",1690,古华新村A区467号
39,77e7795420d50d0ce8e58296,古华A区428号楼,"30.921125,121.475784",1678,上海市奉贤区古华新村A区428号
40,4903689a2ca71c136ca3cc28,航星二村-48号,"30.938556,121.471423",2611,航南公路5388号/国顺路103号航星二村附近
41,b0a0fd6f299ea8c2d5b74eb8,华龙别墅-353号,"30.938035,121.4808",1936,上海市奉贤区南桥华龙别墅353号(航南公路北)
