链家ID,高德ID,高德名称,POI类型,坐标,距离,地址,链家名称,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数,附近门店
5011000000008,B00155B6HY,绅鸿苑,120302,"121.480515,30.912384",880,正环路158弄之1-29号,正阳世纪星城(绅鸿苑),2005年建成 ,板楼,1.09元/平米/月,上海正阳物业公司,奉贤开发商,29,338,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5011000000503,B00155L4R5,奉苑新村,120302,"121.466207,30.920155",1945,新建中路300号,奉苑新村,1999年建成 ,板楼,0.6元/平米/月,双泉物业,上海奉苑房地产开发有限公司,26,274,新建路一店/上海市奉贤区南桥镇新建中路376号
5011000000622,B0015124A2,南亭公寓,120302,"121.460741,30.907867",2723,育秀路496弄,南亭公寓,2000年建成 ,板楼,0.5元/平米/月,上海永佳物业管理有限公司,上海城建集团,25,266,江海一店/上海市奉贤区江海路308号
5011000001214,B0FFF9LPD5,九华丽苑,120302,"121.46098,30.925206",2549,九华路219弄1-15号,九华丽苑,2014年建成 ,板楼,1.37元/平米/月,上海营巢物业管理有限公司,上海高屋置业有限公司,20,741,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000001230,B00155DC9G,曙光新区(建贤路),120302,"121.472526,30.915556",1369,南桥镇,曙光新村(南桥),1993年建成 ,板楼,1.7元/平米/月,上海良友物业管理有限公司,暂无信息,28,277,古华一店/上海市奉贤区环城东路1227号、1229号
5011000001469,B00156DXR7,银河丽湾,120302,"121.493352,30.917069",673,百通路88弄1-17号,银河丽湾,2013年建成 ,板楼,2.2至2.8元/平米/月,戴德粱行物业管理顾问公司,银基发展（上海）投资控股有限公司,16,1105,暂无门店信息
5011000001586,B00155N813,四季花城(韩谊路),120302,"121.466855,30.938452",2913,合欢西路与香樟南路交叉口北50米,百合苑(别墅),2006年建成 ,板楼,1.51元/平米/月,大至物业,上海绿庭集团有限公司,192,192,奉浦一店/上海市奉贤区环城东路515号101室
5011000001697,B001576QBM,丽江苑(新建东路),120302,"121.470652,30.919254",1514,建贤路269弄,丽江苑,2012年建成 ,板楼,1.33元/平米/月,暂无信息,丽江金穗房地产开发有限公司,4,189,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5011000002097,B00155A86I,金鹏花苑,120302,"121.466503,30.913032",1999,古华路620号,金鹏花苑,1997年建成 ,板楼,0.3元/平米/月,上海良友物业管理有限公司,仁恒置业,17,146,古华一店/上海市奉贤区环城东路1227号、1229号
5011000002418,B00156D57M,正阳·领郡,120302,"121.480441,30.90652",1443,正环路669弄205号,正阳领郡,2009年建成 ,板楼,2.5元/平米/月,上海正阳物业公司,上海奉贤正阳置业有限公司,418,418,正阳二店/上海市奉贤区南港路1564号
5011000002465,B00155BK0N,万龙新村,120302,"121.472762,30.921123",1344,新建东路388号,万龙新村,2001年建成 ,板楼,0.8元/平米/月,上海良友物业管理有限公司,上海建都房地产开发有限公司,88,988,古华一店/上海市奉贤区环城东路1227号、1229号
5011000002881,B00156D71U,新发展公寓,120302,"121.457954,30.911402",2833,南桥路22弄14号,新发展公寓,2001年建成 ,板楼,1.3元/平米/月,上海永佳物业管理有限公司,暂无信息,12,217,解放西路店/上海市奉贤区南桥镇解放西路59号一层
5011000002902,B00156D623,万明花园,120302,"121.506839,30.912419",2055,光钱路500弄1-633号,万明花园,暂无信息 ,板楼,0.5元/平米/月,暂无信息,暂无信息,30,90,暂无门店信息
5011000002914,B00155M10O,奉浦苑,120302,"121.464338,30.935484",2842,工业区内国顺路218号,奉浦苑,1998年建成 ,板楼,0.8元/平米/月,上海东方航空物业有限公司,上海东方金马房地产有限公司,99,746,奉浦一店/上海市奉贤区环城东路515号101室
5011000003097,B0FFH4V28Q,运河新村,120302,"121.461907,30.919084",2347,新建中路394号,运河新村(南桥),1984年建成 ,板楼,0.3至1.2元/平米/月,自主物业,上海江海置业有限公司,104,1375,新建路一店/上海市奉贤区南桥镇新建中路376号
5011000003331,B0FFG652WW,育秀东区(南港路),120302,"121.472472,30.907157",1832,南桥镇育秀路环城东路1759号,育秀九区,1996年建成 ,板楼,0.46元/平米/月,上海科瑞物业管理发展有限公司,上海江海置业有限公司,139,1684,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
5011000003475,B00155LPOQ,九华新园,120302,"121.460173,30.931629",2911,南桥镇国顺路369弄,九华新园,2006年建成 ,板楼,0.8元/平米/月,上海营巢物业管理有限公司,上海营巢房产开发有限公司,156,838,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000003511,B00156D583,杨王职工公寓,120302,"121.489228,30.90316",1718,南桥镇杨王村宁富路768弄,杨王职工公寓,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,9,44,暂无门店信息
5011000004148,B0FFFH0XQG,宏伟新村,120302,"121.457189,30.914491",2830,宏伟路19弄,洪卫新村,1984年建成 ,板楼,暂无信息,五四物业,暂无信息,11,88,暂无门店信息
5011000004160,B00155Q8SM,同盛南桥花园,120302,"121.458177,30.927783",2896,陈桥路299号(横泾港东侧、航南公路南侧),同盛南桥花园,2011年建成 ,板楼,1.92至5元/平米/月,中房物业,同盛南桥置业有限公司,13,664,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000004618,B0015747RP,树园新苑,120302,"121.46944,30.923962",1740,南桥运河路200弄1~53号,树园新苑,2009年建成 ,板楼,0.8元/平米/月,上海营巢物业管理有限公司,上海松磊房地产开发有限公司,52,746,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000004909,B0FFFGV9CX,恒盛·湖畔豪庭,120302,"121.485837,30.930058",1297,泽丰路,恒盛湖畔豪庭,2010年建成 ,塔楼/板楼/塔板结合,1.45至1.98元/平米/月,深圳市开元国际物业管理有限公司,上海弘晔房地产发展有限公司,215,3369,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
5011000005528,B00156D6D1,南郊御墅,120301,"121.479758,30.926341",1091,南桥镇展园路250弄,南郊御墅,2011年建成 ,塔楼/板楼/塔板结合,1.5至4.8元/平米/月,上海用为物业管理有限公司,上海华世置地有限公司,51,880,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
5011000008795,B0FFGFI15K,南奉公路9708弄小区,120302,"121.459216,30.911563",2712,南奉公路与人民中路交叉路口往西约50米,南奉公路9708弄,1995年建成 ,板楼,0.45元/平米/月,上海长宜物业管理有限公司, 大理耀鹏房地产开发有限责任公司,15,182,江海一店/上海市奉贤区江海路308号
5011000009003,B0FFH4UKG6,卓越世纪中心,120302,"121.494352,30.912079",1030,望园南路269号,卓越世纪中心(奉贤),2012年建成 ,塔楼/板楼/塔板结合,0.55至4元/平米/月,上海卓越物业管理有限公司,上海鹏跃置业有限公司,68,5296,暂无门店信息
5011000009228,B0FFF53I6E,古华新村B区513号,120302,"121.466790,30.917431",1883,解放中路80号附近,古华新村,1983年建成 ,板楼,0.28至0.8元/平米/月,上海良友物业管理有限公司,上海奉房置业有限公司,240,2929,古华一店/上海市奉贤区环城东路1227号、1229号
5011000009811,B00155L4AD,育秀一区,120302,"121.462261,30.909596",2512,南桥镇,育秀一区,1997年建成 ,板楼,0.4元/平米/月,上海永佳物业管理公司,上海城建集团,57,631,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
5011000010389,B00156D6WV,绿地·望海新都,120302,"121.491335,30.916004",535,望园南路1588弄105号,绿地望海新都,2010年建成 ,板楼,1.2至2元/平米/月,绿地物业公司,上海绿地集团,6,512,暂无门店信息
5011000010401,B0FFGB5M3B,绿地无双,120302,"121.497223,30.939272",2538,[],绿地观邸,2010年建成 ,板楼,1.6元/平米/月,上海科瑞物业管理发展有限公司,绿城集团,16,1024,解放西路店/上海市奉贤区南桥镇解放西路59号一层
5011000010787,B00155R0VD,江海花园,120302,"121.463052,30.902841",2830,南桥镇江南路151号,江海花园,1996年建成 ,板楼,0.55至1.1元/平米/月,上海昌悦物业管理有限公司,上海江海置业有限公司,225,2687,江海花园店/上海市奉贤区南桥镇江南路181号
5011000011029,B00155N787,南郊庄园,120301,"121.480386,30.924815",920,江海镇,南郊庄园,2010年建成 ,板楼,3.5元/平米/月,上海永佳物业管理有限公司,上海华世置地有限公司,36,36,暂无门店信息
5011000011192,B00155IWOD,曙光新苑,120302,"121.475284,30.915723",1110,南奉公路527号,曙光新苑,2000年建成 ,板楼,0.6元/平米/月,上海奉房物业管理有限公司,上海奉贤二建股份有限公司,60,732,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5011000011571,B00155N813,四季花城(韩谊路),120302,"121.466855,30.938452",2913,合欢西路与香樟南路交叉口北50米,百合苑(公寓),2006年建成 ,板楼,1.51元/平米/月,大至物业,上海绿庭集团有限公司,29,702,奉浦一店/上海市奉贤区环城东路515号101室
5011000011937,B00156DGIP,中心公馆,120302,"121.457963,30.909926",2882,江海路388弄8号,中心公馆,2012年建成 ,塔楼/板楼,3.5元/平米/月,上海理想未来房地产有限公司,上海理想未来房地产有限公司,3,1269,江海一店/上海市奉贤区江海路308号
5011000012106,B001579LCP,育秀3区,120302,"121.466200,30.911279",2093,古华南路699弄、古华南区601-800号、古华南区950-953号,育秀三区,1992年建成 ,板楼,0.38至0.58元/平米/月,双泉物业,上海浦南物业管理有限公司,171,1894,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
5011000012144,B001558WG0,奥克苑,120302,"121.463971,30.927184",2360,环城东路868弄,奥克苑,2004年建成 ,板楼,1.2元/平米/月,上海畹町物业管理有限公司,上海齐安置业有限公司,7,60,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000012440,B0FFGE265H,华龙别墅,120301,"121.47339,30.932702",2022,航南公路4888号,华龙别墅,2000年建成 ,板楼,5元/平米/月,暂无信息,暂无信息,24,27,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000012816,B0FFK81L7M,绿地翡翠公馆,120302,"121.472395,30.917821",1346,南桥镇解放东路1018弄,绿地翡翠公馆,2008年建成 ,板楼,2.98元/平米/月,上海欣周物业管理有限公司,绿城集团,1,442,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5011000012867,B0FFFF3YVU,绿地南桥新苑,120302,"121.468582,30.929892",2133,环城东路885弄(近运河北路),绿地南桥新苑,2004年建成 ,板楼/塔板结合,0.85至1.5元/平米/月,绿地永绿物业管理有限公司,绿城集团,345,5298,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000014458,B00155AGG4,蓝天苑,120302,"121.477909,30.919739",831,远东路2707弄,蓝天苑,2002年建成 ,板楼,0.8至2.4元/平米/月,菱迪物业,上海巨龙房地产经营公司,56,840,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5011000014463,B00155EQQY,南星新村,120302,"121.460451,30.909625",2671,华苑路132号,南星新村,1993年建成 ,板楼,1.2元/平米/月,上海奉房物业管理有限公司,上海贝申房地产有限公司,29,478,江海一店/上海市奉贤区江海路308号
5011000018558,B00155DC9G,曙光新区(建贤路),120302,"121.472526,30.915556",1369,南桥镇,曙光新区,1997年建成 ,板楼,1.2元/平米/月,上海帮众物业经营管理有限公司,上海绿地湾置业有限公司,100,1241,古华一店/上海市奉贤区环城东路1227号、1229号
5011000018576,B00155QXW7,亿阳戴家新苑,120302,"121.463269,30.908385",2481,育秀路438弄,亿阳戴家新苑,2006年建成 ,板楼,1.6元/平米/月,亿阳物业,上海亿阳房地产公司,17,162,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
5011000018650,B00155Q8ZI,横泾新村(船民路),120302,"121.460222,30.91874",2507,外环以外南桥镇新建中路城乡路,横泾新村,1983年建成 ,板楼,0.4至0.6元/平米/月,大飞物业,暂无信息,16,205,新建路一店/上海市奉贤区南桥镇新建中路376号
5011000018653,B00155BK0Q,万隆花苑,120302,"121.468477,30.920462",1734,新建东路562号,万隆花苑,1985年建成 ,板楼,0.3元/平米/月,暂无信息,上海南上海动拆迁置业有限公司,39,490,古华一店/上海市奉贤区环城东路1227号、1229号
5011000018670,B0FFF53I6E,古华新村B区513号,120302,"121.466790,30.917431",1883,解放中路80号附近,古华A区,1992年建成 ,板楼/平房,0.25至0.6元/平米/月,上海永佳物业管理有限公司,上海奉贤城乡建设投资开发有限公司,142,1594,古华一店/上海市奉贤区环城东路1227号、1229号
5011000019114,B001557C31,九华南苑,120302,"121.463646,30.928113",2433,环城东路846弄,九华南苑,2004年建成 ,板楼,0.5元/平米/月,上海良友物业管理有限公司,上海新发展房地产,9,108,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000019351,B00155EBE6,古华B区,120302,"121.467265,30.917789",1836,古华园路与解放中路交叉口东北150米,古华B区,1993年建成 ,板楼,0.3至1.2元/平米/月,上海永佳物业管理有限公司,上海江海置业有限公司,49,604,古华一店/上海市奉贤区环城东路1227号、1229号
5011000019384,B00155L48N,庙泾新村,120302,"121.490217,30.917393",374,南奉公路与望园南路交叉口东南150米,庙泾新村,2006年建成 ,板楼,0.7元/平米/月,金维邦物业,上海华馨置业有限公司,44,454,暂无门店信息
5011000019423,B001557NLK,浦南园,120302,"121.473262,30.904788",1973,环城东路1857号,浦南园,2004年建成 ,板楼,0.61至1.2元/平米/月,上海良友物业管理有限公司,上海市奉贤区住宅建设总公司,54,613,正阳二店/上海市奉贤区南港路1564号
5011000019468,B00155N80S,航星二村,120302,"121.46468,30.932702",2619,航南公路5388号/国顺路103号,航星二村,1998年建成 ,板楼,0.96元/平米/月,金维邦物业,上海金维邦物业管理有限公司,60,244,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011000019727,B00155AWG0,普康苑,120302,"121.471209,30.904315",2142,环城东路2066弄,普康苑,2002年建成 ,塔楼/板楼,0.56至1.12元/平米/月,育秀物业,上海市奉贤区住宅建设总公司,66,753,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
5011000019801,B0FFG1OG38,半岛君望,120302,"121.483432,30.915684",420,南奉公路8505号南方国际广场1层,半岛君望,2013年建成 ,板楼,6.62元/平米/月,上海紫泰物业管理有限公司,上海绿庭四季花城房地产开发有限公司,81,81,奉浦一店/上海市奉贤区环城东路515号101室
5011000019934,B00153DE2A,南中新村,120302,"121.457728,30.912613",2820,南中新村4-6号,南中新村,1985年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,21,209,解放西路店/上海市奉贤区南桥镇解放西路59号一层
5011063715958,B0FFF75YUY,馨雅名筑,120302,"121.482166,30.917704",419,解放东路599弄1-17号,馨雅名筑,2015年建成 ,板楼,1.96元/平米/月,上海永佳物业管理有限公司,上海卓翰房地产开发有限公司,14,686,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5011063813717,B00157454T,中粮·南桥半岛,120302,"121.482558,30.921827",533,解放东路望园南路交汇处,中粮南桥半岛,2012年建成 ,板楼,2.4元/平米/月,中粮地产集团深圳物业管理有限公司上海分公司,上海悦鹏置业发展有限公司,76,1127,暂无门店信息
5011063829713,B0FFF541RP,金辉天鹅湾,120302,"121.472684,30.925523",1536,高州路100弄(运河北路高洲路交汇处),金辉天鹅湾,2016年建成 ,板楼,2.5元/平米/月,北京金辉锦江物业服务有限公司,上海融辉房地产有限公司,22,874,古华一店/上海市奉贤区环城东路1227号、1229号
5011063832815,B00156F5H5,铭邦华府,120302,"121.459818,30.929336",2821,富竹路108弄15号,铭邦华府,2012年建成 ,板楼,2.1至6元/平米/月,上海东湖物业管理有限公司,上海铭邦奉贤置业有限公司,13,382,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011063835896,B0FFF54714,秋月朗庭,120302,"121.461089,30.927921",2645,南桥新城富竹路1号,秋月朗庭,2015年建成 ,板楼,2至2.4元/平米/月,上海中环陆家嘴物业管理有限公司,上海中环南城置业有限公司,75,1261,新建路一店/上海市奉贤区南桥镇新建中路376号
5011102206653,B00155B5SB,申凡公寓,120302,"121.458703,30.9103",2802,华苑路137弄-1-2号,申凡公寓,2002年建成 ,板楼,0.4元/平米/月,上海金杨物业,上海东湖房产,2,60,江海一店/上海市奉贤区江海路308号
5011102206658,B00155LDBV,富康花苑,120302,"121.469953,30.905798",2112,环城南路317号(育秀东区600-630号),富康花苑,1999年建成 ,板楼,暂无信息,上海浦南物业管理有限公司,上海浦南物业管理有限公司,32,373,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
5011102206659,B00155LDCV,育秀公寓,120302,"121.461021,30.910797",2574,南桥人民南路340弄,育秀公寓,1994年建成 ,板楼,0.7元/平米/月,暂无信息,上海东上海联合置业有限公司,1,104,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
5011102206694,B0FFG754VQ,金叶小区,120302,"121.462910,30.914920",2284,振贤路10号,金叶小区,暂无信息 ,板楼,0.4元/平米/月,暂无信息,暂无信息,8,69,新建路一店/上海市奉贤区南桥镇新建中路376号
5011102206699,B00156ZH9S,绿地未来中心,120302,"121.489588,30.91577",418,奉贤南桥望园南路1588弄1号,绿地未来中心,2008年建成 ,塔楼/板楼,2元/平米/月,暂无信息,绿地集团,8,2623,暂无门店信息
5011102206730,B00156D6WU,立新新村,120302,"121.459093,30.916443",2624,人民中路290号,立新新村(奉贤),1994年建成 ,板楼,1.2元/平米/月,育秀物业,青岛良友房地产开发有限公司,46,481,新建路一店/上海市奉贤区南桥镇新建中路376号
5011102206734,B0FFF75YMD,金海苑,120302,"121.499990,30.917518",1294,金海路1286号,金海苑,2012年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,60,1514,暂无门店信息
5011102206750,B00155D49G,华龙公寓(解放东路),120302,"121.478825,30.916921",749,奉贤南桥镇解放东路9号,华龙公寓(曙光新村),1999年建成 ,板楼,0.93元/平米/月,上海良友物业管理有限公司,上海华龙建设股份有限公司,55,842,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
5011102206752,B001521D94,航星新村,120302,"121.466563,30.919099",1903,新建东路104号,航星新村,1990年建成 ,板楼,1.2元/平米/月,上海永佳物业管理有限公司,上海南上海动拆迁置业有限公司,26,166,古华一店/上海市奉贤区环城东路1227号、1229号
5011102206764,B0FFF337VR,浦泾苑,120302,"121.503936,30.923421",1758,定康路205弄,浦泾苑,2013年建成 ,塔板结合,1.34元/平米/月,暂无信息,暂无信息,5,246,暂无门店信息
5011102206767,B00157HPAK,南郊一品,120302,"121.492128,30.925691",973,德丰路69弄25号(金海路德丰路路口),南郊一品,2014年建成 ,塔楼/板楼,2.5元/平米/月,暂无信息,上海环恒房地产有限公司,9,1013,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
5011102206786,B00155N8A8,南郊美墅,120301,"121.488922,30.92562",835,徳丰路199弄,南郊美墅,2009年建成 ,板楼,3.5至4.8元/平米/月,上海永佳物业管理有限公司,上海华世置地有限公司,115,160,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
5011102206808,B0FFFRSD66,朝阳新村(奉贤)小区,120302,"121.51037,30.903068",2850,优化路与光钱路交叉口东100米,朝阳新村,1983年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,41,486,暂无门店信息
5011102206836,B0FFF002NZ,南桥新城,120302,"121.503183,30.918142",1595,南奉公路6899号,东原郦湾,暂无信息 ,板楼,2.8元/平米/月,重庆东原物业管理公司,上海长川房地产开发有限公司,61,878,暂无门店信息
5011102206856,B0FFGB5M3B,绿地无双,120302,"121.497223,30.939272",2538,[],绿地智尊,2009年建成 ,塔楼/板楼,6元/平米/月,暂无信息,暂无信息,2,616,奉浦一店/上海市奉贤区环城东路515号101室
5011102206857,B0FFGB5M3B,绿地无双,120302,"121.497223,30.939272",2538,[],绿地至尊,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,4,363,奉浦一店/上海市奉贤区环城东路515号101室
5011102206884,B0FFF3BZ0R,苏宁荣悦怡庭,120302,"121.488675,30.919733",256,解放东路299弄,苏宁荣悦,2015年建成 ,板楼,2.5元/平米/月,江苏银河物业管理有限公司上海分公司,上海奉贤苏宁电器有限公司,12,592,暂无门店信息
5011102206888,B00155LJIS,曙光新村(南桥曙光路),120302,"121.468726,30.914521",1749,曙光路25号,曙光新村(奉城),1983年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,23,540,暂无门店信息
5011102207011,B001579C3S,华宛小区,120302,"121.458635,30.908498",2879,秀龙路178弄14-48号,华宛小区,1990年建成 ,板楼,暂无信息,民星物业, 广州吉高展览策划有限公司,17,124,江海一店/上海市奉贤区江海路308号
5011102207290,B001536209,弘泽欣园,120302,"121.464476,30.926121",2269,环城东路888号,弘泽欣园,2003年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,11,122,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
5011102207310,B00155N80V,锦梓家园,120302,"121.466308,30.932997",2519,航南公路5188号,锦梓家园,2002年建成 ,板楼,0.6元/平米/月,暂无信息,暂无信息,39,50,南桥新苑一店/上海市奉贤区环城东路883弄13号1-2层
509821540057371,B0FFIAUWWK,人民中路六十七弄,120302,"121.459320,30.912170",2685,人民中路67弄,人民中路67弄,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3,28,江海一店/上海市奉贤区江海路308号
509821540057422,B00157HPAM,泰和名都,120302,"121.482912,30.92658",970,展园路与泽丰路交叉口西南150米,泰和名都,2015年建成 ,板楼,2.6元/平米/月,暂无信息,上海越州投资有限公司,73,724,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
509821540057563,B0FFL9EDBH,正阳TOP,120302,"121.480337,30.907920",1306,南桥镇南港路1455-1459号,正阳TOP,2014年建成 ,板楼,暂无信息,上海正阳物业公司,上海正阳置业有限公司,2,124,正阳二店/上海市奉贤区南港路1564号
509821540319255,B0FFG0LHWK,金昊雅苑,120302,"121.503188,30.918003",1596,南奉公路6899号南桥新城附近,金昊雅苑,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,14,483,暂无门店信息
509821540319372,B0FFG652WW,育秀东区(南港路),120302,"121.472472,30.907157",1832,南桥镇育秀路环城东路1759号,育秀八区,1997年建成 ,板楼,0.46至0.6元/平米/月,上海科瑞物业管理发展有限公司,上海江海置业有限公司,80,921,育秀西区一店/上海市奉贤区南桥镇育秀路291、293号
509977363956323,B00155LHUL,新建中路540弄小区,120302,"121.458438,30.91758",2679,新建中路540弄,新建中路540弄,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,10,70,新建路一店/上海市奉贤区南桥镇新建中路376号
5012655493394010,B0FFG0LHWK,金昊雅苑,120302,"121.503188,30.918003",1596,南奉公路6899号南桥新城附近,金昊雅苑南区,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,14,672,暂无门店信息
5014079422925550,B00156D71U,新发展公寓,120302,"121.457954,30.911402",2833,南桥路22弄14号,新发展公寓商业街,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,11,13,江海一店/上海市奉贤区江海路308号
5014554379358160,B0FFG652WW,育秀东区(南港路),120302,"121.472472,30.907157",1832,南桥镇育秀路环城东路1759号,育秀东区15幢547号,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1,1,育秀总店/上海市奉贤区南桥镇环城东路1585号、1587号
5018043683506320,B0FFH4V28Q,运河新村,120302,"121.461907,30.919084",2347,新建中路394号,运河新村(洪庙),暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,7,55,暂无门店信息
