,链家ID,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数,附近门店
0,5011102206884,2015年建成 ,板楼,2.5元/平米/月,江苏银河物业管理有限公司上海分公司,上海奉贤苏宁电器有限公司,12栋,592户,暂无门店信息
1,5011000019384,2006年建成 ,板楼,0.7元/平米/月,金维邦物业,上海华馨置业有限公司,44栋,454户,暂无门店信息
2,5011102206699,2008年建成 ,塔楼/板楼,2元/平米/月,暂无信息,绿地集团,8栋,2623户,暂无门店信息
3,5011063715958,2015年建成 ,板楼,1.96元/平米/月,上海永佳物业管理有限公司,上海卓翰房地产开发有限公司,14栋,686户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
4,5011000019801,2013年建成 ,板楼,6.62元/平米/月,上海紫泰物业管理有限公司,上海绿庭四季花城房地产开发有限公司,81栋,81户,奉浦一店/上海市奉贤区环城东路515号101室
5,5011063813717,2012年建成 ,板楼,2.4元/平米/月,中粮地产集团深圳物业管理有限公司上海分公司,上海悦鹏置业发展有限公司,76栋,1127户,暂无门店信息
6,5011000010389,2010年建成 ,板楼,1.2至2元/平米/月,绿地物业公司,上海绿地集团,6栋,512户,暂无门店信息
7,5020021681623529,2010年建成 ,塔楼/板楼,2元/平米/月,上海欣天物业管理有限公司,上海绿地集团,15栋,5743户,暂无门店信息
8,5011000001469,2013年建成 ,板楼,2.2至2.8元/平米/月,戴德粱行物业管理顾问公司,银基发展（上海）投资控股有限公司,16栋,1105户,暂无门店信息
9,5011102206750,1999年建成 ,板楼,0.93元/平米/月,上海良友物业管理有限公司,上海华龙建设股份有限公司,55栋,842户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
10,5011000014458,2002年建成 ,板楼,0.8至2.4元/平米/月,菱迪物业,上海巨龙房地产经营公司,56栋,840户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
11,5011102206786,2009年建成 ,板楼,3.5至4.8元/平米/月,上海永佳物业管理有限公司,上海华世置地有限公司,115栋,160户,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
12,5011000000008,2005年建成 ,板楼,1.09元/平米/月,上海正阳物业公司,奉贤开发商,29栋,338户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
13,5020022737897861,2005年建成 ,板楼,0.75至4元/平米/月,上海陆家嘴物业管理有限公司,上海奉贤正阳置业有限公司,22栋,258户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
14,5011000011029,2010年建成 ,板楼,3.5元/平米/月,上海永佳物业管理有限公司,上海华世置地有限公司,36栋,36户,暂无门店信息
15,509821540057422,2015年建成 ,板楼,2.6元/平米/月,暂无信息,上海越州投资有限公司,73栋,724户,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
16,5011102206767,2014年建成 ,塔楼/板楼,2.5元/平米/月,暂无信息,上海环恒房地产有限公司,9栋,1013户,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
17,5020022737899018,2005年建成 ,板楼,1.09至4元/平米/月,大飞物业,上海奉贤正阳置业有限公司,29栋,481户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
18,5011000009003,2012年建成 ,塔楼/板楼/塔板结合,0.55至4元/平米/月,上海卓越物业管理有限公司,上海鹏跃置业有限公司,68栋,5296户,暂无门店信息
19,5011000005528,2011年建成 ,塔楼/板楼/塔板结合,1.5至4.8元/平米/月,上海用为物业管理有限公司,上海华世置地有限公司,51栋,880户,恒盛湖畔豪庭店/上海市奉贤区泽丰路88弄124号1层
20,5011000011192,2000年建成 ,板楼,0.6元/平米/月,上海奉房物业管理有限公司,上海奉贤二建股份有限公司,60栋,732户,正阳世纪星城店/上海市奉贤区南奉公路8889弄77号2层、79号1层及2层
