,高德ID,链家ID,高德名称,链家名称
0,B0FFF3BZ0R,5011102206884,苏宁荣悦怡庭,苏宁荣悦
1,B00155L48N,5011000019384,庙泾新村,庙泾新村
2,B00156ZH9S,5011102206699,绿地未来中心,绿地未来中心
3,B0FFF75YUY,5011063715958,馨雅名筑,馨雅名筑
4,B0FFG1OG38,5011000019801,半岛君望,半岛君望
5,B00157454T,5011063813717,中粮·南桥半岛,中粮南桥半岛
6,B00156D6WV,5011000010389,绿地·望海新都,绿地望海新都
7,B00156D6WV,5020021681623529,绿地·望海新都,绿地领御
8,B00156DXR7,5011000001469,银河丽湾,银河丽湾
9,B00155D49G,5011102206750,华龙公寓,华龙公寓(曙光新村)
10,B00155AGG4,5011000014458,蓝天苑,蓝天苑
11,B00155N8A8,5011102206786,南郊美墅,南郊美墅
12,B00155B6HY,5011000000008,绅鸿苑,正阳世纪星城(绅鸿苑)
13,B001559E7Z,5020022737897861,芳邻苑,正阳世纪星城芳邻苑
14,B00155N787,5011000011029,南郊庄园,南郊庄园
15,B00157HPAM,509821540057422,泰和名都,泰和名都
16,B00157HPAK,5011102206767,南郊一品,南郊一品
17,B001557C9G,5020022737899018,居礼苑,正阳世纪星城居礼苑
18,B0FFH4UKG6,5011000009003,卓越世纪中心,卓越世纪中心(奉贤)
19,B00156D6D1,5011000005528,南郊御墅,南郊御墅
20,B00155IWOD,5011000011192,曙光新苑,曙光新苑
21,B00155AS8O,5020022738940853,名仕苑,正阳世纪星城名仕苑
22,B00155BVUE,5020022737898975,行知苑,正阳世纪星城行知苑
23,B0FFF75YMD,5011102206734,金海苑,金海苑
24,B0FFFGV9CX,5011000004909,恒盛·湖畔豪庭,恒盛湖畔豪庭
25,B0FFL9EDBH,509821540057563,正阳TOP,正阳TOP
26,B001579AYN,5020022738940997,正阳·世纪星城,正阳世纪星城丽骏湾
27,B001579AYN,5020022737899050,正阳·世纪星城,正阳世纪星城文华苑
28,B001579AYN,5020022738941175,正阳·世纪星城,正阳世纪星城米兰风尚
29,B001579AYN,5020022737899435,正阳·世纪星城,正阳世纪星城莱茵之恋
30,B001579AYN,5020022738941149,正阳·世纪星城,正阳世纪星城英伦风情
31,B00155BK0N,5011000002465,万龙新村,万龙新村
32,B0FFK81L7M,5011000012816,绿地翡翠公馆,绿地翡翠公馆
33,B00155DC9G,5011000001230,曙光新区,曙光新村(南桥)
34,B00155DC9G,5011000018558,曙光新区,曙光新区
35,B00156D57M,5011000002418,正阳·领郡,正阳领郡
36,B001576QBM,5011000001697,丽江苑,丽江苑
37,B0FFF541RP,5011063829713,金辉天鹅湾,金辉天鹅湾
38,B0FFF002NZ,5011102206836,南桥新城,东原郦湾
39,B0FFG0LHWK,5012655493394010,金昊雅苑,金昊雅苑南区
40,B0FFG0LHWK,509821540319255,金昊雅苑,金昊雅苑
41,B0FFLOKH9K,5020023146992624,育秀4区,育秀四区
42,B00156D583,5011000003511,杨王职工公寓,杨王职工公寓
43,B00155BK0Q,5011000018653,万隆花苑,万隆花苑
44,B0015747RP,5011000004618,树园新苑,树园新苑
45,B00155LJIS,5011102206888,曙光新村,曙光新村(奉城)
46,B0FFF337VR,5011102206764,浦泾苑,浦泾苑
47,B0FFG652WW,5011000003331,育秀东区,育秀九区
48,B0FFG652WW,509821540319372,育秀东区,育秀八区
49,B0FFG652WW,5014554379358163,育秀东区,育秀东区15幢547号
50,B00155EBE6,5011000019351,古华B区,古华B区
51,B0FFF53I6E,5011000018670,古华新村B区513号,古华A区
52,B0FFF53I6E,5011000009228,古华新村B区513号,古华新村
53,B001521D94,5011102206752,航星新村,航星新村
54,B00155L4R5,5011000000503,奉苑新村,奉苑新村
55,B001557NLK,5011000019423,浦南园,浦南园
56,B00155A86I,5011000002097,金鹏花苑,金鹏花苑
57,B0FFGE265H,5011000012440,华龙别墅,华龙别墅
58,B00156D623,5011000002902,万明花园,万明花园
59,B001579LCP,5011000012106,育秀3区,育秀三区
60,B00155LDBV,5011102206658,富康花苑,富康花苑
61,B0FFFF3YVU,5011000012867,绿地南桥新苑,绿地南桥新苑
62,B00155AWG0,5011000019727,普康苑,普康苑
63,B00155DIWE,5020023146987605,育秀二区,育秀二区
64,B001536209,5011102207290,弘泽欣园,弘泽欣园
65,B00155L4A1,5020024346090650,育秀7区,育秀七区
66,B0FFG754VQ,5011102206694,金叶小区,金叶小区
67,B0FFH4V28Q,5011000003097,运河新村,运河新村(南桥)
68,B0FFH4V28Q,5018043683506320,运河新村,运河新村(洪庙)
69,B001558WG0,5011000012144,奥克苑,奥克苑
70,B001557C31,5011000019114,九华南苑,九华南苑
71,B00155QXW7,5011000018576,亿阳戴家新苑,亿阳戴家新苑
72,B00155Q8ZI,5011000018650,横泾新村,横泾新村
73,B00155L4AD,5011000009811,育秀一区,育秀一区
74,B00155N80V,5011102207310,锦梓家园,锦梓家园
75,B0FFGB5M3B,5011000010401,绿地无双,绿地观邸
76,B0FFGB5M3B,5011102206857,绿地无双,绿地至尊
77,B0FFGB5M3B,5011102206856,绿地无双,绿地智尊
78,B0FFF9LPD5,5011000001214,九华丽苑,九华丽苑
79,B00155NESY,5020024300964939,南桥镇育秀6区,育秀五区
80,B00155NESY,5020037262428084,南桥镇育秀6区,育秀西区
81,B00155LDCV,5011102206659,育秀公寓,育秀公寓
82,B00155N80S,5011000019468,航星二村,航星二村
83,B00156D6WU,5011102206730,立新新村,立新新村(奉贤)
84,B0FFF54714,5011063835896,秋月朗庭,秋月朗庭
85,B00155EQQY,5011000014463,南星新村,南星新村
86,B00155LHUL,509977363956323,新建中路540弄小区,新建中路540弄
87,B0FFIAUWWK,509821540057371,人民中路六十七弄,人民中路67弄
88,B0FFGFI15K,5011000008795,南奉公路9708弄小区,南奉公路9708弄
89,B0015124A2,5011000000622,南亭公寓,南亭公寓
90,B00155B5SB,5011102206653,申凡公寓,申凡公寓
91,B00153DE2A,5011000019934,南中新村,南中新村
92,B00156F5H5,5011063832815,铭邦华府,铭邦华府
93,B00155R0VD,5011000010787,江海花园,江海花园
94,B0FFFH0XQG,5011000004148,宏伟新村,洪卫新村
95,B00156D71U,5011000002881,新发展公寓,新发展公寓
96,B00156D71U,5014079422925552,新发展公寓,新发展公寓商业街
97,B00155M10O,5011000002914,奉浦苑,奉浦苑
98,B0FFFRSD66,5011102206808,朝阳新村小区,朝阳新村
99,B001579C3S,5011102207011,华宛小区,华宛小区
100,B00156DGIP,5011000011937,中心公馆,中心公馆
101,B00155Q8SM,5011000004160,同盛南桥花园,同盛南桥花园
102,B0FFKBCKM8,5020036484143511,光语著,光语著
